Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1658858737.0280957,5248,1658858737,26846144,map,5.637089729309082,5.745588302612305,-0.7078758478164673,-0.00022580406488032,0.012558586313745668,-0.7280130574998164,-0.6854481884373855
1658858737.0780013,5249,1658858737,76846144,map,5.638082027435303,5.747874736785889,-0.7117800116539001,-0.00021723918402136915,0.012574769454313451,-0.7280078399546652,-0.6854534360150589
1658858737.1281738,5250,1658858737,126845632,map,5.638877868652344,5.750057220458984,-0.7155703902244568,-0.00021561317520065216,0.012593948319068949,-0.7280018844985829,-0.6854594095518766
1658858737.1852612,5251,1658858737,176845632,map,5.639522552490234,5.752514839172363,-0.7195325493812561,-0.0002103086884662873,0.01260453040310825,-0.7279914246132371,-0.6854703255963474
1658858737.2350972,5252,1658858737,226849728,map,5.639991283416748,5.755163192749023,-0.7238135933876038,-0.0002090432720906152,0.012634797028197437,-0.7279865877912353,-0.6854749055954134
1658858737.2910662,5253,1658858737,276849728,map,5.640292644500732,5.75767183303833,-0.7275143265724182,-0.0001997692889062057,0.012637809099561245,-0.7279888601490159,-0.6854724395424888
1658858737.328041,5254,1658858737,326849216,map,5.640449047088623,5.760045528411865,-0.731080174446106,-0.0001996731385094293,0.012655119639710437,-0.7279784078641868,-0.6854832206269283
1658858737.3778856,5255,1658858737,376849216,map,5.640935897827148,5.762825012207031,-0.7335386872291565,-0.00019453566359068294,0.012669640339249413,-0.7279880524036588,-0.6854727112927818
1658858737.4283445,5256,1658858737,426850240,map,5.641644477844238,5.765920639038086,-0.7356656789779663,-0.00019479159990664109,0.012685279601302476,-0.7279876852581249,-0.6854728118971508
1658858737.4780457,5257,1658858737,476850240,map,5.642131328582764,5.7688212394714355,-0.7376083135604858,-0.00019461139429110974,0.012704747957908156,-0.7279868138727947,-0.6854733768229574
1658858737.5282373,5258,1658858737,526849472,map,5.642437934875488,5.771551609039307,-0.7398384213447571,-0.00020299523541114864,0.012716128196011492,-0.7279857584622215,-0.6854742842388917
1658858737.5785728,5259,1658858737,576849472,map,5.643571376800537,5.774073123931885,-0.7418971657752991,-0.00019688206730239746,0.0127277161151941,-0.7279885666378924,-0.6854710886131152
1658858737.62807,5260,1658858737,626848448,map,5.644415855407715,5.776435852050781,-0.7440764904022217,-0.00018205259596501942,0.012722811647662906,-0.7279881022415164,-0.6854716769607813
1658858737.6781375,5261,1658858737,676848448,map,5.645026206970215,5.77866792678833,-0.7459992170333862,-0.00017397902748681574,0.01271735008240945,-0.7279782609463556,-0.6854822319562334
1658858737.7399228,5262,1658858737,726854592,map,5.645436763763428,5.780818939208984,-0.7482113838195801,-0.00017237474701571227,0.012716496550655567,-0.7279758652276691,-0.6854847924268271
1658858737.7838273,5263,1658858737,776854592,map,5.646335601806641,5.7820143699646,-0.7503863573074341,-0.00017027017450435347,0.012720387276140895,-0.72797376116518,-0.6854869552446891
1658858737.828277,5264,1658858737,826857664,map,5.647596836090088,5.782373905181885,-0.752528965473175,-0.0001570574021519125,0.012719557904665689,-0.7279666647610998,-0.6854945099534225
1658858737.8785346,5265,1658858737,876857664,map,5.648560047149658,5.782823085784912,-0.7543315291404724,-0.00017694402582714742,0.012737936127387243,-0.7279614575437476,-0.6854996936577059
1658858737.9285412,5266,1658858737,926857920,map,5.649272441864014,5.783344268798828,-0.7559812068939209,-0.0001835696833882282,0.012735663126676917,-0.7279669687497264,-0.6854938815162612
1658858737.9785304,5267,1658858737,976857920,map,5.651023864746094,5.7828168869018555,-0.7572788596153259,-0.0002046729112760503,0.012754654270703263,-0.7279588368707297,-0.6855021580748294
1658858738.0286388,5268,1658858738,26857664,map,5.653583526611328,5.7813849449157715,-0.7581341862678528,-0.00021982251074348594,0.012775088037623512,-0.7279566623160978,-0.6855040821127919
1658858738.0786245,5269,1658858738,76857664,map,5.655703067779541,5.780186176300049,-0.7587637901306152,-0.00023230460616719076,0.012788895102086018,-0.7279463942852488,-0.6855147243084885
